신호등명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
청담초교앞,서울시 강남구 압구정로 429,서울시 강남구 청담동 141-18,서울특별시 강남구,37.52721,127.04406,2022-09-22
포이초교앞,서울시 강남구 개포로22길 87,서울시 강남구 개포동 1273,서울특별시 강남구,37.47592,127.05251,2022-09-22
수서동성당앞,서울시 강남구 광평로 199,서울시 강남구 수서동 739,서울특별시 강남구,37.48469,127.09485,2022-09-22
자곡사거리,서울시 강남구 밤고개로 206,서울시 강남구 자곡동 591,서울특별시 강남구,37.47576,127.1056,2022-09-22
만강식당앞,서울시 강남구 밤고개로21길 81,서울시 강남구 율현동 69,서울특별시 강남구,37.47416,127.11536,2022-09-22
율현공원앞,,서울시 강남구 율현동 66-8,서울특별시 강남구,37.47448,127.11686,2022-09-22
강남리더스프라자앞,서울시 강남구 헌릉로 569,서울시 강남구 세곡동 581,서울특별시 강남구,37.46576,127.10123,2022-09-22
자곡초,서울시 강남구 자곡로 150,서울시 강남구 자곡동 641,서울특별시 강남구,37.4728,127.10001,2022-09-22
일원역사거리,서울시 강남구 일원로 115,서울시 강남구 일원동 717,서울특별시 강남구,37.48324,127.08386,2022-09-22
개포고교사거리,서울시 강남구 개포로 402,서울시 강남구 개포동 173,서울특별시 강남구,37.4848,127.05793,2022-09-22
궁마을삼거리,서울시 강남구 광평로39길 3,서울시 강남구 수서동 738,서울특별시 강남구,37.48566,127.09781,2022-09-22
세명초,서울시 강남구 자곡로 81,서울시 강남구 자곡동 622,서울특별시 강남구,37.46967,127.09173,2022-09-22
세곡동 e편한세상 앞,,서울시 강남구 세곡동 281-7,서울특별시 강남구,37.46528,127.10183,2022-09-22
세곡동사거리,서울시 강남구 헌릉로 623,서울시 강남구 세곡동 115-13,서울특별시 강남구,37.46477,127.1082,2022-09-22
대왕초 앞,서울시 강남구 헌릉로618길 8,서울시 강남구 세곡동 517,서울특별시 강남구,37.46481,127.10652,2022-09-22
개일초 후문,서울시 강남구 선릉로 103,서울시 강남구 개포동 650,서울특별시 강남구,37.48629,127.05698,2022-09-22
구룡초사거리,서울시 강남구 언주로 101,서울시 강남구 개포동 655-3,서울특별시 강남구,37.48105,127.05376,2022-09-22
역삼금호어울림,서울시 강남구 역삼로8길 21,서울시 강남구 역삼로8길 21,서울특별시 강남구,37.49269,127.03403,2022-09-22
대도초교,서울시 강남구 선릉로 209,서울시 강남구 선릉로 209,서울특별시 강남구,37.49322,127.05428,2022-09-22
도성초교,서울시 강남구 역삼로 313,서울시 강남구 역삼로 313,서울특별시 강남구,37.50003,127.04933,2022-09-22
현대백화점 무역센터,서울시 강남구 테헤란로 513,서울시 강남구 삼성동 158-23,서울특별시 강남구,37.50771,127.05939,2022-09-22
선정릉역 사거리,서울시 강남구 선릉로 601,서울시 강남구 논현동 278-8,서울특별시 강남구,37.51023,127.04376,2022-09-22
영동대교 남단,서울시 강남구 도산대로 539,서울시 강남구 청담동 125-12,서울특별시 강남구,37.52492,127.05263,2022-09-22
논현경복아파트앞,서울시 강남구 언주로 615,서울시 강남구 논현동 225-6,서울특별시 강남구,37.51054,127.03666,2022-09-22
강남세무서,서울시 강남구 학동로 426,서울시 강남구 삼성동 16-1,서울특별시 강남구,37.51813,127.04649,2022-09-22
강남세무서 연등 1,서울시 강남구 학동로 426,서울시 강남구 삼성동 16-1,서울특별시 강남구,37.51821,127.047,2022-09-22
강남세무서 연등 2,서울시 강남구 학동로 413,서울시 강남구 청담동 44-15,서울특별시 강남구,37.51791,127.04521,2022-09-22
압구정 현대아파트,서울시 강남구 압구정로 214,서울시 강남구 신사동 614-7,서울특별시 강남구,37.52813,127.03024,2022-09-22
