위도,경도,시설유형,읍면동,안심귀갓길명,관리기관,세부위치
37.502872,127.026097,CCTV,역삼동,강남안심01,강남도시관제센터,ONEPERMIL
37.502872,127.026097,보안등,역삼동,강남안심01,,ONEPERMIL
37.502869,127.026284,노면표기,역삼동,강남안심01,,ONEPERMIL
37.502932,127.026578,보안등,역삼동,강남안심01,,GS25강남태양점
37.502988,127.026762,보안등,역삼동,강남안심01,,GS25강남태양점
37.502988,127.026762,CCTV,역삼동,강남안심01,강남도시관제센터,GS25강남태양점
37.503051,127.026964,보안등,역삼동,강남안심01,,퐁트마리
37.503158,127.027312,보안등,역삼동,강남안심01,,에딧메이트
37.503158,127.027312,112위치신고,역삼동,강남안심01,역삼지구대,에딧메이트
37.503321,127.027838,보안등,역삼동,강남안심01,,구구당
37.503379,127.028072,보안등,역삼동,강남안심01,,GS25 강남아트점
37.503379,127.028072,112위치신고,역삼동,강남안심01,역삼지구대,GS25 강남아트점
37.503483,127.028223,노면표기,역삼동,강남안심01,,GS25 강남아트점
37.503467,127.028265,보안등,역삼동,강남안심01,,GS25 강남아트점
37.503783,127.028516,보안등,역삼동,강남안심01,,탈라코스메틱
37.503883,127.028616,보안등,역삼동,강남안심01,,탈라코스메틱
37.504153,127.028857,보안등,역삼동,강남안심01,,MARVRUS
37.50427,127.028946,보안등,역삼동,강남안심01,,힐리빙텔
37.504341,127.028891,보안등,역삼동,강남안심01,,힐리빙텔 맞은편
37.504489,127.029048,보안등,역삼동,강남안심01,,힐리빙텔 맞은편
37.504602,127.029245,보안등,역삼동,강남안심01,,오중석웨딩스튜디오
37.50491,127.029521,보안등,역삼동,강남안심01,,넥스몰
37.504942,127.029486,노면표기,역삼동,강남안심01,,넥스몰
37.505035,127.029514,CCTV,역삼동,강남안심01,강남도시관제센터,넥스몰
37.505035,127.029514,안심벨,역삼동,강남안심01,강남도시관제센터,넥스몰
37.505005,127.029585,112위치신고,역삼동,강남안심01,,넥스몰
37.505005,127.029585,보안등,역삼동,강남안심01,,넥스몰
37.506301,127.039825,보안등,역삼동,강남안심02,,palau coffee
37.506301,127.039825,112위치신고,역삼동,강남안심02,역삼지구대,palau coffee
37.506206,127.03957,보안등,역삼동,강남안심02,,AXISSOFT
37.506119,127.039284,보안등,역삼동,강남안심02,,두손베스티움맞은편
37.505962,127.03896,보안등,역삼동,강남안심02,,옥산빌리지
37.505962,127.03896,CCTV,역삼동,강남안심02,강남도시관제센터,옥산빌리지
37.505895,127.038745,보안등,역삼동,강남안심02,,쎄비앙빌
37.505862,127.038581,보안등,역삼동,강남안심02,,논현로102길44
37.505789,127.038376,보안등,역삼동,강남안심02,,참조은빌라
37.505789,127.038376,CCTV,역삼동,강남안심02,강남도시관제센터,참조은빌라
37.505789,127.038376,안심벨,역삼동,강남안심02,강남도시관제센터,참조은빌라
37.505821,127.038336,노면표기,역삼동,강남안심02,,참조은빌라
37.505741,127.038283,보안등,역삼동,강남안심02,,참조은빌라
37.505741,127.038283,112위치신고,역삼동,강남안심02,역삼지구대,참조은빌라
37.505741,127.038283,기타,역삼동,강남안심02,,참조은빌라
37.505668,127.037987,보안등,역삼동,강남안심02,,GS25역삼충현점
37.505643,127.037909,CCTV,역삼동,강남안심02,강남도시관제센터,GS25역삼충현점
37.505643,127.037909,보안등,역삼동,강남안심02,,GS25역삼충현점
37.505544,127.037565,보안등,역삼동,강남안심02,,MOZZHOME
37.505544,127.037565,기타,역삼동,강남안심02,,MOZZHOME
37.50549,127.037363,보안등,역삼동,강남안심02,,MOZZHOME
37.505407,127.037109,CCTV,역삼동,강남안심02,강남도시관제센터,하이츠빌
37.505407,127.037109,보안등,역삼동,강남안심02,,하이츠빌
37.505271,127.036622,보안등,역삼동,강남안심02,,CREAM
37.505109,127.036488,보안등,역삼동,강남안심02,,cafe de vintage
37.505109,127.036488,기타,역삼동,강남안심02,,cafe de vintage
37.505091,127.036395,보안등,역삼동,강남안심02,,NEAPOLIS
37.505091,127.036395,112위치신고,역삼동,강남안심02,역삼지구대,NEAPOLIS
37.505091,127.036395,CCTV,역삼동,강남안심02,강남도시관제센터,NEAPOLIS
37.505091,127.036395,안심벨,역삼동,강남안심02,강남도시관제센터,NEAPOLIS
37.50512,127.036434,노면표기,역삼동,강남안심02,,NEAPOLIS
37.505021,127.036217,보안등,역삼동,강남안심02,,NEAPOLIS
37.505054,127.036193,노면표기,역삼동,강남안심02,,NEAPOLIS
37.504986,127.035899,보안등,역삼동,강남안심02,,TINY BROWN
37.504941,127.035933,CCTV,역삼동,강남안심02,강남도시관제센터,TINY BROWN
37.504941,127.035933,안심벨,역삼동,강남안심02,강남도시관제센터,TINY BROWN
37.505291,127.03579,보안등,역삼동,강남안심02,,m-house
37.505607,127.035638,보안등,역삼동,강남안심02,,ATTICO
37.505751,127.035569,보안등,역삼동,강남안심02,,한빛공인중개사맞은편
37.505895,127.035503,보안등,역삼동,강남안심02,,한빛공인중개사맞은편
37.506163,127.035345,보안등,역삼동,강남안심02,,브레드오미엘
37.506263,127.035358,보안등,역삼동,강남안심02,,브레드오미엘
37.506244,127.03533,보안등,역삼동,강남안심02,,브레드오미엘
37.506244,127.03533,CCTV,역삼동,강남안심02,강남도시관제센터,브레드오미엘
37.506244,127.03533,안심벨,역삼동,강남안심02,강남도시관제센터,브레드오미엘
37.506321,127.03534,노면표기,역삼동,강남안심02,,MINIPET
37.49696,127.042117,보안등,역삼동,수서안심09,,드림동물병원
37.496806,127.042154,노면표기,역삼동,수서안심09,,드림동물병원
37.496738,127.04216,보안등,역삼동,수서안심09,,우미야
