점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
CU 대치태양점,서울특별시,강남구,11680,서울특별시 강남구 선릉로68길 9,,37.49912587,127.052486,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 역삼태광점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로34길 7,,37.50112367,127.0403049,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 역삼태극점,서울특별시,강남구,11680,서울특별시 강남구 강남대로78길 8,,37.4946558,127.030034,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 역삼화랑점,서울특별시,강남구,11680,서울특별시 강남구 역삼로20길 9,,37.49471298,127.0376559,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 역삼화인점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로30길 28,,37.505604,127.0354373,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 일원석탑점,서울특별시,강남구,11680,서울특별시 강남구 개포로 615,,37.4926193,127.0755689,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 청담루나점,서울특별시,강남구,11680,서울특별시 강남구 학동로 523,,37.5201056,127.056051,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 청담유시어터점,서울특별시,강남구,11680,서울특별시 강남구 도산대로58길 17,,37.5220301,127.0415161,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 테헤란로점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로 428,,37.5056037,127.0541831,,서울수서경찰서,,Y,2026-01-29
씨스페이스 삼성1점,서울특별시,강남구,11680,서울특별시 강남구 영동대로112길 5,,37.5151298,127.0606594,,서울강남경찰서,,N,2026-01-29
이마트24 R뉴청담본점,서울특별시,강남구,11680,서울특별시 강남구 도산대로66길 43,,37.5206195,127.043855,,서울강남경찰서,,Y,2026-01-29
CU 대치한국점,서울특별시,강남구,11680,서울특별시 강남구 선릉로86길 7,,37.5032613,127.050312,,서울수서경찰서,,Y,2026-01-29
CU 도곡아이파크점,서울특별시,강남구,11680,서울특별시 강남구 도곡로28길 8,,37.4920697,127.0421146,,서울수서경찰서,,Y,2026-01-29
CU 선정릉역점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로 409,,37.5108229,127.0447138,,서울강남경찰서,,N,2026-01-29
CU 신사현대점,서울특별시,강남구,11680,서울특별시 강남구 논현로176길 20,,37.5272065,127.0301094,,서울강남경찰서,,Y,2026-01-29
CU 역삼가화점,서울특별시,강남구,11680,서울특별시 강남구 역삼로34길 19,,37.4960087,127.0426913,,서울강남경찰서,,N,2026-01-29
CU 역삼건화점,서울특별시,강남구,11680,서울특별시 강남구 논현로64길 18,,37.4934452,127.041948,,서울강남경찰서,,Y,2026-01-29
CU 역삼경남점,서울특별시,강남구,11680,서울특별시 강남구 언주로85길 13,,37.50056793,127.042336,,서울강남경찰서,,Y,2026-01-29
CU 역삼벚꽃길점,서울특별시,강남구,11680,서울특별시 강남구 도곡로7길 8,,37.49134037,127.0352301,,서울강남경찰서,,Y,2026-01-29
CU 역삼사랑점,서울특별시,강남구,11680,서울특별시 강남구 언주로104길 6,,37.50700526,127.040809,,서울강남경찰서,,Y,2026-01-29
CU 강남시티점,서울특별시,강남구,11680,서울특별시 강남구 선릉로93길 50,,37.5043533,127.0446413,,서울강남경찰서,,Y,2026-01-29
CU 역삼삼부자점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로51길 43,,37.505703,127.044178,,서울강남경찰서,,Y,2026-01-29
CU 역삼시티점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로7길 7,,37.49963104,127.0304731,,서울강남경찰서,,Y,2026-01-29
CU 역삼에클라트점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로20길 19,,37.498524,127.0350122,,서울강남경찰서,,Y,2026-01-29
CU 역삼유토빌점,서울특별시,강남구,11680,서울특별시 강남구 논현로87길 41,,37.498821,127.033588,,서울강남경찰서,,Y,2026-01-29
CU 역삼점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로51길 10,,37.5047409,127.046954,,서울강남경찰서,,Y,2026-01-29
CU 역삼카이로스점,서울특별시,강남구,11680,서울특별시 강남구 강남대로66길 8,,37.49171982,127.031564,,서울강남경찰서,,Y,2026-01-29
CU 역삼타운점,서울특별시,강남구,11680,서울특별시 강남구 언주로75길 16,,37.49870801,127.0430309,,서울강남경찰서,,Y,2026-01-29
